Feature ID	Taxon	Confidence
8082af0d0062b5b93d731b07dcfe938d	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9042954299917098
e0db845c447f4a445b6785bb49e086a1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Afipia; s__	0.9732916608475893
5fa6068f7afffbcb528b03da76314486	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__luteciae	0.8700514576913245
a76cf69306cc43b891f67c6ec4bc7a7e	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Propionibacteriaceae; g__Propionibacterium; s__acnes	0.999947116654138
3353d39a3de6a0c61c2161e115643dea	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	0.9999999999967599
b336f874e7e80e5f6ed2d3043569ba41	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__helveticus	0.9111154688716571
511cb0579cf33c0a01bdfffea6b84ac5	k__Bacteria	0.9663723163737029
cce440f94f51127903e8b02dbd24032a	k__Bacteria	0.963610153856769
af1bb615e0ac8b9e2b52512dd76d34b0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	0.9995996825000353
af0e2dbc05344c36d239938aac481b49	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__	0.9999958893674904
aaf9e82c69584775f715fa875f5e2429	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	0.9961497819645109
af56daecfd285bbfd64c24c470b903b9	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	0.9999999999999937
f8fa858b8d9356ed5222f6dc827b515a	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Corynebacteriaceae; g__Corynebacterium; s__	0.9981274102308825
8d46e15d0116760fc75e37572ea6dec8	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	0.7828118128680643
ace1325de8e7f0cf4b26727d1ae9e307	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__	0.9999947990594327
82ca344b8e97f3585450ec7264a96d19	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9999886153412134
f77c14c9c2f047ae8015b554efe01054	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__[Chromatiaceae]	0.9999999902215144
7bcbf57d29414370abe2b4cba6d1a937	k__Bacteria	0.959596984807433
e757784d7bf91d59ad41c0f44a107935	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	0.9999999999697025
3e488e8c98eb2b66daaf3c7c4d773c41	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__helveticus	0.9153146396918959
2033f234809c25f7d88144238428779a	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia; s__	0.9999999999999716
2cf15f6bc0f89f0216d7e52ea56b52ea	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Lactococcus; s__	0.9999999976122638
f1d5dc2ae73d29d6ae4c2de87d10c750	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Kozakia; s__baliensis	0.7863505219952904
9f21af566871478eb7564ea13f3a9226	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__veronii	0.8046186370497029
0159bb58f14f3e954814353fcf7e5c0c	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	1.0000000000000127
008e9792d5ec317508d8b27a729ec700	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__helveticus	0.7877905363717613
4f615e05da54621539885d67e274d8d4	k__Bacteria	0.9640955755788128
df530d5ff32b1123895472cae0ff0130	k__Bacteria	0.959949324319602
74debc9332d276a00b27a78d5c32a356	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__	0.9970754065439789
892392b26a76737f35fe7a420fcfcd4e	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas	0.7896759585831136
72cffe16d232fca3a83c32152e399ffa	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__luteciae	0.8243335419009828
aad0d375a3cc4b59a0341c3a1ef7ad52	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9999883283780249
09ccf02e20435eab8e06499e76446596	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__iners	0.9999883009065184
d0d0c310659e11614001dc9274f17388	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Moraxella; s__	0.99997275706118
d8045f6ba3237326a7fd7c8ac95fa6e8	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Gluconobacter; s__	0.9946071408033292
25b739f51b9b033784d4eea235da2531	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Cloacibacterium; s__	0.9999996904889964
3cb52f49646200988b6db9a08d8f50db	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__; s__	0.9962241795049148
d59cdc30b9eaf2c37d754430903382f1	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Gluconacetobacter; s__liquefaciens	0.9600974837458537
1b487ef6252614237a2b54684183d15a	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9999974447288442
abe0e4b4033e439683471389735aca04	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.966862227407489
dba8d5e502310f658c4d3433d80b49fe	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Gardnerella; s__	0.9999969287124755
76a5fcffc6855cbffaff68d9f4686d04	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Staphylococcaceae; g__Staphylococcus	0.8410563047194359
d49c63ec7857198fbe8366f517f5a0dc	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micrococcaceae; g__Micrococcus	0.9993404164598908
